"","ID","siteEffCan","mean10mEffCan","sd10mEffCan","mean30mEffCan","sd30mEffCan"
"101","DW_M1",3.39,1.25,0.63,1.46,0.76
"102","DW_M2",3.26,1.31,0.61,1.55,0.82
"103","DW_M3",4.16,1.8,1.11,2.27,1.36
"104","DW_M4",3.87,1.65,1.04,2.02,1.26
"105","DW_P1",4.37,1.5,0.76,1.89,1.02
"106","EA-EW-1020-LOSH",5.19,1.65,1,2.25,1.44
"107","EA-EWNC-0510-ARG2",3.34,1.48,0.85,1.86,1.01
"108","EA-EWNC-1020-HIGH",4.23,1.66,1.03,2.02,1.2
"109","EA-EWNC-1020-SUGL",3.03,1.41,0.79,1.62,0.92
"110","EA-EWNC-2030-ARG1",4.52,1.74,1.13,2.19,1.37
"111","EA-EWNC-2030-WIL2",2.42,1.37,0.73,1.6,0.95
"112","EA-EWNC-3040-WIL3",2.67,1.3,0.58,1.42,0.6
"113","EA-EWNC-6000-HAYL",2.78,1.46,0.79,1.69,0.96
"114","EA-EWNC-6000-WIL4",2.73,1.35,0.68,1.56,0.83
"115","EA-EWPL-1020-HIGH",3.93,1.51,0.82,1.97,1.11
"116","EA-EWPL-1020-SUGL",3.01,1.47,0.69,1.7,0.84
"117","EA-EWPL-2030-ARG1",4.17,1.73,1.05,2.16,1.24
"118","EA-EWPL-3040-WIL3",3.52,1.4,0.66,1.68,0.9
"119","EA-EWPL-6000-HAYL",2.57,1.38,0.73,1.53,0.87
"120","EA-EWPL-6000-WIL4",3.29,1.53,0.87,1.85,1.04
"121","EA-NC-0510-ARG2",1.85,1.14,0.54,1.32,0.77
"122","EA-NC-1020-HIGH",3.03,1.39,0.8,1.79,1.17
"123","EA-NC-1020-LOSH",5.11,1.57,0.94,1.92,1.28
"124","EA-NC-1020-SUGL",2.19,1.24,0.62,1.42,0.86
"125","EA-NC-2030-ARG1",2.95,1.46,0.81,1.7,1.01
"126","EA-NC-2030-WIL2",4.04,1.5,0.75,1.87,1.01
"127","EA-NC-3040-WIL3",3.89,1.44,0.68,1.69,0.88
"128","EA-NC-6000-HAYL",3.43,1.41,0.85,1.59,1
"129","EA-NC-6000-WIL4",2.87,1.38,0.7,1.65,0.93
"130","EA-PL-1020-HIGH",3.61,1.43,0.83,1.73,1.05
"131","EA-PL-1020-LOSH",3.56,1.9,1.09,2.28,1.42
"132","EA-PL-1020-SUGL",2.27,1.21,0.59,1.43,0.84
"133","EA-PL-2030-ARG1",3.52,1.58,0.85,1.88,1.03
"134","EA-PL-3040-WIL3",2.54,1.29,0.51,1.52,0.73
"135","EA-PL-6000-HAYL",2.48,1.19,0.55,1.35,0.76
"136","EA-PL-6000-WIL4",3.2,1.76,1,2.04,1.05
"137","FF_M1",3.89,1.22,0.6,1.44,0.84
"138","FF_M2",3.76,1.48,0.89,1.99,1.23
"139","FF_P1",4.6,1.6,0.91,1.91,1.24
"140","FL_M1",3.71,1.59,0.89,1.9,1.03
"141","FL_M2",3.69,1.58,0.98,1.82,1.1
"142","FL_M4",3.16,1.29,0.76,1.53,0.95
"143","FL_P1",4.76,1.72,0.9,1.98,1.17
"144","HF_M1",4.52,1.89,1.09,2.34,1.37
"145","HF_M2",4.66,1.86,1.17,2.28,1.43
"146","HF_M3",3.4,1.24,0.62,1.49,0.74
"147","HF_M4",4.01,1.28,0.7,1.53,0.98
"148","HF_P1",4.39,2.05,1.02,2.53,1.18
"149","LB_M1",4.63,1.43,0.77,1.89,1.2
"150","LB_M2",4.74,1.61,0.98,2.02,1.31
"151","LB_M3",4.4,1.58,0.87,1.95,1.08
"152","LB_M4",2.79,1.38,0.81,1.68,1.14
"153","LB_P1",4.28,1.51,0.83,1.78,1.12
"154","MG_M1",4.5,1.85,1.2,2.26,1.48
"155","MG_M2",3.7,1.52,0.9,1.78,1.04
"156","MG_M3",3.37,1.35,0.7,1.7,1.05
"157","MG_M4",3.89,1.69,0.95,2.15,1.24
"158","MG_P1",2.72,1.28,0.66,1.47,0.85
"159","SE-EW-1020-COMF",3.61,1.29,0.75,1.55,0.92
"160","SE-EW-1020-VICT",2.24,1.17,0.6,1.36,0.86
"161","SE-EWNC-1020-HAIN",2.53,1.17,0.45,1.28,0.51
"162","SE-EWNC-2030-OLDP",4.31,1.62,1.06,2.05,1.38
"163","SE-EWNC-3040-RAVE",3.78,1.78,0.98,2.13,1.15
"164","SE-EWNC-6000-BOWD",3.23,1.4,0.78,1.65,0.97
"165","SE-EWPL-1020-HAIN",4.21,1.3,0.72,1.51,0.94
"166","SE-EWPL-2030-OLDP",3.38,1.25,0.66,1.48,0.89
"167","SE-EWPL-3040-RAVE",4.29,1.41,0.79,1.75,1.13
"168","SE-EWPL-5060-BOWD",3.23,1.62,0.94,1.86,1
"169","SE-NC-1020-COMF",2.98,1.17,0.59,1.34,0.78
"170","SE-NC-1020-HAIN",4.58,1.51,0.86,1.8,1.15
"171","SE-NC-1020-VICT",2.51,1.22,0.62,1.42,0.84
"172","SE-NC-2030-OLDP",3.71,1.64,1,2.01,1.27
"173","SE-NC-3040-RAVE",3.24,1.72,0.97,1.99,1.13
"174","SE-NC-6000-BOWD",3.09,1.42,0.86,1.66,0.98
"175","SE-PL-1020-COMF",2.08,1.13,0.52,1.29,0.67
"176","SE-PL-1020-HAIN",2.42,1.26,0.56,1.37,0.73
"177","SE-PL-1020-VICT",2.12,1.27,0.52,1.35,0.59
"178","SE-PL-2030-OLDP",3.59,1.55,0.89,1.93,1.13
"179","SE-PL-3040-RAVE",4.38,1.67,1.01,2.05,1.28
"180","SE-PL-5060-BOWD",2.79,1.45,0.82,1.78,0.95
"181","SH_M1",4.13,1.63,0.96,1.92,1.13
"182","SH_M2",3.97,1.7,1.04,1.95,1.16
"183","SH_P1",4.7,1.55,0.87,1.95,1.12
"184","WE-EWNC-1020-PIDD",4.1,1.59,0.92,1.97,1.21
"185","WE-EWNC-1020-SWAN",2.73,1.36,0.75,1.62,0.89
"186","WE-EWNC-2030-CHUR",3.81,1.67,0.9,1.91,1.09
"187","WE-EWNC-3040-WYTH",4.15,1.49,0.83,1.85,1.08
"188","WE-EWPL-1020-PIDD",4.17,1.69,0.96,2.05,1.21
"189","WE-EWPL-1020-SWAN",4.31,1.58,0.99,1.92,1.19
"190","WE-EWPL-2030-CHUR",2.74,1.37,0.73,1.65,0.96
"191","WE-EWPL-3040-WYTH",4.82,1.71,1.11,2.27,1.51
"192","WE-NC-1020-PIDD",3.92,1.22,0.62,1.43,0.88
"193","WE-NC-1020-SWAN",4.24,1.45,0.8,1.69,1.02
"194","WE-NC-2030-CHUR",4.59,1.71,0.94,2.18,1.23
"195","WE-NC-3040-WYTH",4.25,1.47,0.86,1.82,1.19
"196","WE-PL-1020-PIDD",3.71,1.67,0.86,1.93,1.03
"197","WE-PL-1020-SWAN",4.89,1.56,0.9,2.24,1.34
"198","WE-PL-2030-CHUR",4.66,1.56,0.92,1.89,1.25
"199","WE-PL-3040-WYTH",4.2,1.51,0.85,1.82,1.12
"200","WT4509",4.44,1.58,0.95,1.87,1.23
"201","WT4688",4.26,1.87,1.1,2.35,1.4
"202","WT4691",4.55,1.92,1.1,2.39,1.39
"203","WT4832",3.96,1.59,0.92,2,1.25
"204","WT4945",4.05,1.48,0.88,1.86,1.22
"205","WT4975",3.73,1.65,1.08,1.94,1.34
"206","WT5163",4.15,1.61,0.96,1.96,1.24
"207","WT5210",4.18,1.62,0.87,2.05,1.23
"208","WT5226",4.12,1.51,0.85,1.85,1.17
"209","WT5231",4.02,1.59,0.86,1.96,1.16
"210","WT5233",3.37,1.57,0.85,1.86,1.12
"211","WT5291",3.36,1.83,0.85,2.2,1.04
