Source,Site,Type,ID,plotID,Species,dbh,Age
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150B,Hawthorn,11.2,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150B,Hawthorn,9.3,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150B,Hawthorn,9.4,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150B,Hawthorn,8,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150B,Hawthorn,7.6,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150B,Hawthorn,15,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150B,Hawthorn,8,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150B,Hawthorn,14.6,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150A,Hawthorn,14.2,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150A,Hawthorn,13.1,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150A,Hawthorn,8,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150A,Hawthorn,11,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150A,Hawthorn,12.1,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150A,Hawthorn,7,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150A,Hawthorn,8.6,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150A,Hawthorn,9.9,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150A,Hawthorn,15.7,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150A,Hawthorn,11.5,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150A,Hawthorn,11.8,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70B,Hawthorn,11.4,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70B,Hawthorn,20,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70B,Hawthorn,11.7,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70B,Hawthorn,7.8,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70B,Hawthorn,10.6,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70B,Hawthorn,13.8,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70B,Hawthorn,7.4,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70B,Hawthorn,9.6,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70B,Hawthorn,12,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70B,Hawthorn,7.3,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70B,Hawthorn,14.2,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70B,Hawthorn,9.1,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70B,Hawthorn,13,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70B,Hawthorn,9.8,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70B,Hawthorn,10,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70B,Hawthorn,7.1,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30A,Hawthorn,14.4,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30B,Hawthorn,7.8,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30B,Hawthorn,7.6,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30B,Hawthorn,8.2,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30B,Hawthorn,9.2,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30B,Hawthorn,14.8,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70A,Hawthorn,8.3,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70A,Hawthorn,12.4,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70A,Hawthorn,11,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70A,Hawthorn,8.6,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70A,Hawthorn,17.9,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150A,Hazel,9,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150A,Hazel,9.8,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70B,Hazel,8.4,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70B,Hazel,8.8,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30A,Hazel,7.1,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30A,Hazel,7.5,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30A,Hazel,7.2,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30A,Hazel,7.3,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30A,Hazel,9.1,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30A,Hazel,8.7,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30A,Hazel,9.2,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30A,Hazel,11.5,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30A,Hazel,7.1,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30A,Hazel,11.2,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30B,Hazel,7,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30B,Hazel,7.4,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30B,Hazel,10.2,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30B,Hazel,7.8,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30B,Hazel,10.2,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30B,Hazel,10.6,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70A,Hazel,7.1,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70A,Hazel,7.9,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70A,Hazel,7.8,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70A,Hazel,12,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70A,Hazel,8.1,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70A,Hazel,9.5,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150A,Field maple,14.3,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150A,Field maple,12.5,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150A,Field maple,9,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70B,Field maple,14,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30A,Field maple,9.4,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30A,Field maple,9,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30B,Field maple,21.4,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30B,Field maple,24.5,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30B,Field maple,19.6,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30B,Field maple,17,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70A,Field maple,34.5,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70A,Field maple,19.8,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70A,Field maple,23.2,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150B,Oak,49.9,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150B,Oak,63,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150B,Oak,20.4,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150B,Oak,27.9,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150B,Oak,29.1,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150B,Oak,42.2,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150B,Oak,28.5,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150B,Oak,30.4,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150B,Oak,14.8,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150A,Oak,56.4,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150A,Oak,51.9,100
