species,kk_type
Carex pallescens,wood_spec
Carex paniculata,wood_spec
Carex pendula,wood_spec
Carex remota,wood_spec
Carex strigosa,wood_spec
Carex sylvatica,wood_spec
Cephalanthera damasonium,wood_spec
Cephalanthera longifolia,wood_spec
Chrysosplenium alternifolium,wood_spec
Chrysosplenium oppositifolium,wood_spec
Circaea alpina x lutetiana (C. x intermedia),wood_spec
Cirsium heterophyllum,wood_spec
Colchicum autumnale,wood_spec
Conopodium majus,wood_spec
Convallaria majalis,wood_spec
Ceratocapnos claviculata,wood_spec
Daphne laureola,wood_spec
Daphne mezereum,wood_spec
Cardamine bulbifera,wood_spec
Dipsacus pilosus,wood_spec
Dryopteris aemula,wood_spec
Dryopteris affinis,wood_spec
Dryopteris carthusiana,wood_spec
Epipactis helleborine,wood_spec
Epipactis leptochila,wood_spec
Epipactis phyllanthes,wood_spec
Epipactis purpurata,wood_spec
Equisetum hyemale,wood_spec
Equisetum sylvaticum,wood_spec
Equisetum telmateia,wood_spec
Euphorbia amygdaloides,wood_spec
Festuca altissima,wood_spec
Festuca gigantea,wood_spec
Fragaria vesca,wood_spec
Gagea lutea,wood_spec
Galanthus nivalis,wood_spec
Lamiastrum galeobdolon,wood_spec
Galium odoratum,wood_spec
Geranium robertianum,wood_spec
Geranium sanguineum,wood_spec
Geranium sylvaticum,wood_spec
Geum rivale,wood_spec
Gnaphalium sylvaticum,wood_spec
Gymnocarpium dryopteris,wood_spec
Helleborus foetidus,wood_spec
Helleborus viridis,wood_spec
Holcus mollis,wood_spec
Hordelymus europaeus,wood_spec
Hyacinthoides non-scripta,wood_spec
Hymenophyllum tunbrigense,wood_spec
Hymenophyllum wilsonii,wood_spec
Hypericum androsaemum,wood_spec
Hypericum hirsutum,wood_spec
Hypericum pulchrum,wood_spec
Hypericum tetrapterum,wood_spec
Iris foetidissima,wood_spec
Lathraea squamaria,wood_spec
Lathyrus linifolius,wood_spec
Lathyrus sylvestris,wood_spec
Listera ovata,wood_spec
Lonicera periclymenum,wood_spec
Luzula forsteri,wood_spec
Luzula pilosa,wood_spec
Luzula sylvatica,wood_spec
Lysimachia nemorum,wood_spec
Lysimachia vulgaris,wood_spec
Lythrum portula,wood_spec
Maianthemum bifolium,wood_spec
Melampyrum pratense,wood_spec
Melampyrum sylvaticum,wood_spec
Melica nutans,wood_spec
Melica uniflora,wood_spec
Melittis melissophyllum,wood_spec
Mercurialis perennis,wood_spec
Milium effusum,wood_spec
Moehringia trinervia,wood_spec
Monotropa hypopitys,wood_spec
Myosotis sylvatica,wood_spec
Narcissus pseudonarcissus,wood_spec
Neottia nidus-avis,wood_spec
Ophioglossum vulgatum,wood_spec
Ophrys insectifera,wood_spec
Orchis mascula,wood_spec
Orchis purpurea,wood_spec
Oreopteris limbosperma,wood_spec
Orobanche hederae,wood_spec
Oxalis acetosella,wood_spec
Paris quadrifolia,wood_spec
Phegopteris connectilis,wood_spec
Phyllitis scolopendrium,wood_spec
Pimpinella major,wood_spec
Platanthera chlorantha,wood_spec
Poa nemoralis,wood_spec
Polygonatum multiflorum,wood_spec
Polygonatum odoratum,wood_spec
Polypodium vulgare,wood_spec
Polystichum aculeatum,wood_spec
Polystichum setiferum,wood_spec
Potentilla sterilis,wood_spec
Primula elatior,wood_spec
Primula vulgaris,wood_spec
Pulmonaria longifolia,wood_spec
Pyrola minor,wood_spec
Radiola linoides,wood_spec
Ranunculus auricomus,wood_spec
Ribes nigrum,wood_spec
Ribes rubrum,wood_spec
Ribes spicatum,wood_spec
Rosa arvensis,wood_spec
Rubus caesius,wood_spec
Rubus saxatilis,wood_spec
Ruscus aculeatus,wood_spec
Sanicula europaea,wood_spec
Scirpus sylvaticus,wood_spec
Scrophularia nodosa,wood_spec
Scutellaria minor,wood_spec
Sedum telephium,wood_spec
Serratula tinctoria,wood_spec
Sibthorpia europaea,wood_spec
Silene dioica,wood_spec
Solidago virgaurea,wood_spec
Stachys sylvatica,wood_spec
Stellaria holostea,wood_spec
Stellaria neglecta,wood_spec
Stellaria nemorum,wood_spec
Tamus communis,wood_spec
Trollius europaeus,wood_spec
Vaccinium myrtillus,wood_spec
Valeriana dioica,wood_spec
Valeriana officinalis,wood_spec
Veronica montana,wood_spec
Vicia sepium,wood_spec
Vicia sylvatica,wood_spec
Viola odorata,wood_spec
Viola palustris,wood_spec
Viola reichenbachiana,wood_spec
Viola riviniana,wood_spec
Wahlenbergia hederacea,wood_spec
Lithospermum officinale,wood_spec
Anemone nemorosa,wood_spec
