"","ID","stemDensityHA","dbhMean","dbhSD"
"147","SE-EW-1020-COMF",1433,22.4,16.2
"148","SE-EWNC-2030-OLDP",3535,16.5,6.2
"149","SE-EWNC-6000-BOWD",764,20.5,14.8
"150","SE-EWPL-2030-OLDP",828,18.7,11.3
"151","SE-EWPL-5060-BOWD",1815,15.6,7.8
"152","SE-NC-1020-COMF",64,0,0
"153","SE-NC-2030-OLDP",1529,11.2,5.1
"154","SE-NC-6000-BOWD",2420,19.5,8.3
"155","SE-PL-1020-COMF",1561,8.4,1.1
"156","SE-PL-2030-OLDP",7293,15.4,5.1
"157","SE-PL-5060-BOWD",2707,21.2,8.2
"158","WE-EWNC-1020-SWAN",605,23.5,17.9
"159","WE-EWNC-2030-CHUR",2134,16.4,8
"160","WE-EWNC-3040-WYTH",573,29.4,34.6
"161","WE-EWPL-1020-SWAN",478,26.2,18.2
"162","WE-EWPL-2030-CHUR",1178,20.5,15.8
"163","WE-EWPL-3040-WYTH",669,26.3,32.5
"164","WE-NC-1020-SWAN",7707,11.6,3.6
"165","WE-NC-2030-CHUR",7070,10.5,4.3
"166","WE-NC-3040-WYTH",2834,12.4,4.3
"167","WE-PL-1020-SWAN",6656,11.1,3.1
"168","WE-PL-2030-CHUR",5032,12.9,4.3
"169","WE-PL-3040-WYTH",2229,29.7,14.4
