"","ID","Type","Age","spp","sppWoodland","sppGeneralist","sppSpecialist","Source","stemDensityHA","dbhSD"
"122","WE-EWPL-1020-SWAN","Mature","Mature",3,1,1,0,"NC",478,18.2
"123","WE-EWPL-2030-CHUR","Mature","Mature",9,5,1,4,"NC",1178,15.8
"124","WE-EWPL-3040-WYTH","Mature","Mature",8,7,5,2,"NC",669,32.5
"125","WE-NC-1020-PIDD","NC","24",23,18,18,0,"NC",NA,NA
"126","WE-NC-1020-SWAN","NC","20",8,5,5,0,"NC",7707,3.6
"127","WE-NC-2030-CHUR","NC","25",23,28,26,2,"NC",7070,4.3
"128","WE-NC-3040-WYTH","NC","60",15,11,8,3,"NC",2834,4.3
"129","WE-PL-1020-SWAN","PL","20",8,6,5,1,"NC",6656,3.1
"130","WE-PL-2030-CHUR","PL","25",19,19,17,2,"NC",5032,4.3
"131","WE-PL-3040-WYTH","PL","60",3,4,0,4,"NC",2229,14.4
"132","BF_P1","PL","25",25,33,29,4,"FTC",24000,2.6
"133","CS_P1","PL","25",26,36,27,9,"FTC",21000,6.4
"134","DP_P1","PL","25",28,27,17,10,"FTC",12833,2.7
"135","DW_P1","PL","25",22,22,15,7,"FTC",38667,3.4
"136","FF_P1","PL","25",20,20,7,13,"FTC",10833,4
"137","FL_P1","PL","25",30,45,31,14,"FTC",34500,4.4
"138","HF_P1","PL","25",20,16,10,6,"FTC",29667,4.8
"139","LB_P1","PL","25",19,26,23,3,"FTC",21500,2.3
"140","MG_P1","PL","25",34,22,19,3,"FTC",7000,4.9
"141","SH_P1","PL","25",26,34,22,12,"FTC",39500,3.3
"142","BF_M1","Mature","250",21,31,23,8,"FTC",11833,6.1
"143","CS_M1","Mature","250",17,23,7,16,"FTC",7000,21.4
"144","CS_M2","Mature","250",35,58,26,32,"FTC",10833,16.5
"145","CS_M4","Mature","250",18,16,8,8,"FTC",8500,18.8
"146","DP_M1","Mature","250",11,8,5,3,"FTC",6333,14
"147","DP_M2","Mature","250",21,23,11,12,"FTC",9000,12.7
"148","DP_M3","Mature","250",10,8,4,4,"FTC",3500,15.2
"149","DP_M4","Mature","250",27,27,8,19,"FTC",6667,17.7
"150","DW_M1","Mature","250",14,19,4,15,"FTC",7500,14.6
"151","DW_M2","Mature","250",28,29,12,17,"FTC",6000,11.6
"152","DW_M3","Mature","250",8,4,1,3,"FTC",9167,2.2
"153","DW_M4","Mature","250",7,8,3,5,"FTC",12333,9.3
"154","FF_M1","Mature","250",11,8,1,7,"FTC",7333,11.9
"155","FF_M2","Mature","250",27,28,17,11,"FTC",8167,9.4
"156","FL_M1","Mature","250",21,16,4,12,"FTC",12000,11.7
"157","FL_M2","Mature","250",20,26,16,10,"FTC",3333,14.8
"158","FL_M4","Mature","250",22,23,13,10,"FTC",13667,13.4
"159","HF_M1","Mature","250",7,6,1,5,"FTC",20500,8.5
"160","HF_M2","Mature","250",43,56,41,15,"FTC",1833,34.5
"161","HF_M3","Mature","250",9,12,6,6,"FTC",4833,15
"162","HF_M4","Mature","250",4,2,1,1,"FTC",5167,30.2
"163","LB_M1","Mature","250",17,20,8,12,"FTC",6000,17.7
"164","LB_M2","Mature","250",12,17,15,2,"FTC",16000,2.5
"165","LB_M3","Mature","250",18,8,4,4,"FTC",12833,8.1
"166","LB_M4","Mature","250",12,18,14,4,"FTC",7167,8.4
"167","MG_M1","Mature","250",13,31,23,8,"FTC",4500,14.2
"168","MG_M2","Mature","250",19,22,12,10,"FTC",3833,24.8
"169","MG_M3","Mature","250",14,10,8,2,"FTC",8167,3.7
"170","MG_M4","Mature","250",20,27,17,10,"FTC",6000,19.9
"171","SH_M1","Mature","250",19,23,12,11,"FTC",12167,8.8
"172","SH_M2","Mature","250",17,19,7,12,"FTC",7000,16.4
