"","ID","ttops_chm","ttops_las"
"186","WE-EWNC-2030-CHUR",263,274
"187","WE-EWNC-3040-WYTH",204,161
"188","WE-EWPL-1020-PIDD",187,201
"189","WE-EWPL-1020-SWAN",72,79
"190","WE-EWPL-2030-CHUR",204,194
"191","WE-EWPL-3040-WYTH",83,86
"192","WE-NC-1020-PIDD",30,17
"193","WE-NC-1020-SWAN",159,166
"194","WE-NC-2030-CHUR",110,101
"195","WE-NC-3040-WYTH",20,26
"196","WE-PL-1020-PIDD",674,709
"197","WE-PL-1020-SWAN",45,53
"198","WE-PL-2030-CHUR",62,65
"199","WE-PL-3040-WYTH",109,103
"200","WT4509",615,710
"201","WT4688",2051,2291
"202","WT4691",1882,2009
"203","WT4832",503,533
"204","WT4945",300,336
"205","WT4975",166,157
"206","WT5163",365,381
"207","WT5210",446,438
"208","WT5226",210,243
"209","WT5231",212,217
"210","WT5233",437,516
"211","WT5291",263,270
