ID,siteEffCan,mean10mEffCan,sd10mEffCan,mean30mEffCan,sd30mEffCan,site_area,gap_prop,patch_den,np,pd,ta,area_mn,area_sd,para_mn,para_sd,ai,cohesion,glcmCorrelation_mean,glcmCorrelation_sd,glcmContrast_mean,glcmContrast_sd,glcmEntropy_mean,glcmEntropy_sd,siteEffStories,mean10mEffStories,sd10mEffStories,mean30mEffStories,sd30mEffStories
1105056,4.15,1.84,1.09,2.33,1.27,11.034363419497543,0.11289278344764937,8.60946811232776,95,7626.234245805571,1.2457,0.013112631578947369,0.04320620336200077,1.271538152339734,0.6663814907764442,94.68750034594851,97.03435405292625,0.44,0.28,5.71,6.65,2.56,0.8,3.92,3.21,0.81,3.58,0.57
1105206,3.82,1.63,1.03,2.03,1.24,6.320358421997592,0.11015198087135718,12.81572888621076,81,11634.587762137317,0.6962,0.008595061728395062,0.020363772374210092,1.246648547841603,0.6126050951998248,92.94529519905961,95.10092506841225,0.42,0.27,8.17,7.01,2.88,0.58,3.92,3.21,0.81,3.58,0.57
1105464,3.82,1.6,0.88,1.86,1.03,11.731987255002611,0.023568044696101954,2.642348591606367,31,11211.573236889692,0.2765,0.008919354838709679,0.025941927702143222,1.1964292665273513,0.5435196528695937,95.50292067145557,95.60150625364534,0.39,0.27,7.45,8.69,2.71,0.63,3.92,3.21,0.81,3.58,0.57
1107477,3.17,1.29,0.74,1.58,0.99,2.0357227349991676,0.002750865775442789,1.4736780939872083,3,53571.428571428565,0.0056,0.0018666666666666666,4.0414518843273796e-4,1.3027375201288245,0.15922498161652976,89.38041125541125,88.8270618321414,0.41,0.27,4.62,3.62,2.82,0.39,3.92,3.21,0.81,3.58,0.57
1107675,3.55,1.37,0.82,1.71,1.11,6.320031838064507,0.06167690448207857,4.113903326151982,26,6670.0872242175465,0.38980000000000004,0.014992307692307694,0.043218772986533746,1.3594992608060237,0.8410153621964263,92.96447834613018,97.96285433274073,0.45,0.27,4.13,4.82,2.55,0.68,3.92,3.21,0.81,3.58,0.57
1107677,3.8,1.46,0.93,1.92,1.3,1.6828119168020728,0.09276140633508481,13.667599908436582,23,14734.144778987826,0.15610000000000002,0.0067869565217391304,0.007512129848562262,1.1295332285629143,0.5403786468499789,89.05386842281172,92.80785063763798,0.45,0.27,3.57,4.78,2.5,0.62,3.92,3.21,0.81,3.58,0.57
1108137,3.93,1.44,0.86,1.76,1.1,13.06600455500863,0.07364914009854058,4.362465952007495,57,5923.308739478332,0.9623,0.016882456140350877,0.04361827157612072,1.0468998680289212,0.5040374985280379,95.02685012692383,97.0563408173991,0.42,0.27,5.11,6.2,2.57,0.7,3.92,3.21,0.81,3.58,0.57
1108227,3.82,1.39,0.73,1.68,0.95,4.405360529799128,0.006537489906941442,2.4969579505679116,11,38194.44444444444,0.028800000000000003,0.002618181818181818,0.001979301988994192,1.3012769488403344,0.4587380829225965,90.13660506498228,87.09166775665511,0.36,0.28,7.99,6.8,2.92,0.4,3.92,3.21,0.81,3.58,0.57
1108368,3.85,2,1.27,2.32,1.44,2.113487510003621,0.17260570420847912,22.711276869536725,48,13157.894736842103,0.3648,0.0076,0.013489065705860481,1.2741995679913913,0.6007178667192213,91.53764263238992,93.80505975022855,0.42,0.27,7.68,6.36,2.79,0.73,3.92,3.21,0.81,3.58,0.57
1115432,3.68,1.5,0.86,1.84,1.07,6.188927011597017,0.031233200785497718,6.4631558790476396,40,20693.222969477498,0.1933,0.0048325,0.008224366159039171,1.3939450705582206,0.8417179881771407,92.26613286873976,91.37703632991342,0.41,0.27,5.64,5.75,2.77,0.52,3.92,3.21,0.81,3.58,0.57
1412786,3.83,1.84,1.01,2.17,1.19,5.417447198104183,0.02682075056510883,9.229439285997532,50,34411.56228492773,0.1453,0.002906,0.008279638412690372,1.6467526393117808,0.8185256657942509,90.4818803215992,91.36518467754208,0.34,0.28,8.14,6.06,3.02,0.29,3.92,3.21,0.81,3.58,0.57
1503147,3.61,1.51,0.91,1.86,1.23,1.094407074996992,0.00831500472529841,8.223631046998428,9,98901.0989010989,0.0091,0.001011111111111111,5.710613899670605e-4,1.897084759829858,0.7864916819294688,87.91522762951334,78.18914605771992,0.42,0.27,1.42,1.73,2.12,0.59,3.92,3.21,0.81,3.58,0.57
182014,3.07,1.73,1.06,2.04,1.22,1.9583114676736062,0.4697924794838292,20.936403976996733,41,4456.521739130434,0.92,0.0224390243902439,0.1149002912921651,1.2799467658417882,0.7061241446970568,94.17402628184377,99.0862629911018,0.32,0.3,1.8,2,1.81,1.09,3.92,3.21,0.81,3.58,0.57
182458,4.31,1.83,1.23,2.31,1.54,1.3062975107882755,0.145296150710313,18.372537497615976,24,12644.889357218124,0.1898,0.007908333333333333,0.015653917877883998,1.2273860174244036,0.612173092563995,88.67032770373356,95.59311274269562,0.42,0.27,8.2,8.52,2.77,0.62,3.92,3.21,0.81,3.58,0.57
183278,4.66,1.96,1.16,2.55,1.43,3.7538830548074564,0.08431269578168409,8.524506366552577,32,10110.584518167456,0.3165,0.009890625,0.017829087494515717,1.1748527671983144,0.8628488578892686,92.85133044020755,95.20963727649672,0.41,0.27,12.82,13.87,2.89,0.63,3.92,3.21,0.81,3.58,0.57
183479,3.64,1.47,0.91,1.91,1.26,0.9519807258232031,0.01932812240929461,11.554855788165256,11,59782.608695652176,0.0184,0.0016727272727272728,0.0016352925787704836,1.664064577566178,0.9353642768208213,93.05704064389775,84.60478562449005,0.41,0.27,5.59,6.07,2.6,0.64,3.92,3.21,0.81,3.58,0.57
