"","ID","siteFHD_gaps","siteFHD_gapless","mean10mFHD_gaps","sd10mFHD_gaps","mean30mFHD_gaps","sd30mFHD_gaps","mean10mFHD_gapless","sd10mFHD_gapless","mean30mFHD_gapless","sd30mFHD_gapless"
"73","CH-NC-2030-BLAC",2.72,2.72,2.44,0.43,2.47,0.42,2.44,0.43,2.47,0.42
"74","CH-NC-2030-BULW",1.82,1.82,1.42,0.52,1.52,0.56,1.42,0.52,1.52,0.56
"75","CH-NC-2030-FAMN",3.56,3.56,2.68,0.64,3.03,0.64,2.68,0.64,3.03,0.64
"76","CH-NC-3040-HOME",3.45,3.45,2.32,1.01,2.67,1,2.32,1.01,2.67,1
"77","CH-NC-6000-FAM2",4.28,4.28,3.39,0.57,3.75,0.41,3.39,0.57,3.75,0.41
"78","CH-NC-6000-NORT",3.96,3.96,3.27,0.67,3.5,0.55,3.27,0.67,3.5,0.55
"79","CH-NC-6000-PRES",4.06,4.06,3.48,0.59,3.51,0.91,3.48,0.59,3.51,0.91
"80","CH-PL-0510-LANG",1.59,1.59,1.33,0.65,1.58,0.74,1.33,0.65,1.58,0.74
"81","CH-PL-0510-SL12",1.02,1.02,1.01,0.06,1.03,0.08,1.01,0.06,1.03,0.08
"82","CH-PL-1020-HEAR",1.22,1.22,1.16,0.2,1.19,0.15,1.16,0.2,1.19,0.15
"83","CH-PL-1020-HUC1",3.65,3.65,3.16,0.46,3.3,0.42,3.16,0.46,3.3,0.42
"84","CH-PL-1020-HUC3",3.14,3.14,2.79,0.31,2.93,0.22,2.79,0.31,2.93,0.22
"85","CH-PL-2030-BLAC",3.77,3.77,3.01,0.74,3.33,0.57,3.01,0.74,3.33,0.57
"86","CH-PL-2030-BULW",1.43,1.43,1.52,0.53,1.56,0.44,1.52,0.53,1.56,0.44
"87","CH-PL-2030-FAMN",3.96,3.96,3.04,0.6,3.36,0.57,3.04,0.6,3.36,0.57
"88","CH-PL-3040-HOME",3.86,3.86,3.57,0.57,3.69,0.58,3.57,0.57,3.69,0.58
"89","CH-PL-6000-FAM2",3.97,3.97,3.15,0.73,3.31,0.7,3.15,0.73,3.31,0.7
"90","CH-PL-6000-NORT",4.03,4.03,3.48,0.52,3.77,0.3,3.48,0.52,3.77,0.3
"91","CH-PL-6000-PRES",3.71,3.71,3.03,0.7,3.17,0.62,3.03,0.7,3.17,0.62
"92","CS_M1",4.27,4.27,3.47,0.84,3.73,0.71,3.47,0.84,3.73,0.71
"93","CS_M2",3.64,3.64,2.93,0.88,3.1,0.81,2.93,0.88,3.1,0.81
"94","CS_M4",3.78,3.78,2.77,0.96,3.17,0.77,2.77,0.96,3.17,0.77
"95","CS_P1",4.04,4.04,3.26,0.79,3.53,0.64,3.26,0.79,3.53,0.64
"96","DP_M1",3.82,3.82,3.27,0.72,3.4,0.65,3.27,0.72,3.4,0.65
"97","DP_M2",3.6,3.6,3.09,0.68,3.2,0.67,3.09,0.68,3.2,0.67
"98","DP_M3",3.74,3.74,3.21,0.69,3.41,0.55,3.21,0.69,3.41,0.55
"99","DP_M4",4.32,4.32,3.54,0.82,3.61,0.87,3.54,0.82,3.61,0.87
"100","DP_P1",2.17,2.17,1.75,0.6,1.85,0.71,1.75,0.6,1.85,0.71
"101","DW_M1",3.15,3.15,2.68,0.55,2.78,0.59,2.68,0.55,2.78,0.59
"102","DW_M2",3.11,3.11,2.71,0.5,2.87,0.42,2.71,0.5,2.87,0.42
"103","DW_M3",3.21,3.21,2.68,0.66,2.99,0.47,2.68,0.66,2.99,0.47
"104","DW_M4",3.2,3.2,2.56,0.69,2.84,0.6,2.56,0.69,2.84,0.6
"105","DW_P1",3.34,3.34,2.75,0.55,3.04,0.59,2.75,0.55,3.04,0.59
"106","EA-EW-1020-LOSH",4.42,4.42,2.92,0.91,3.19,0.96,2.92,0.91,3.19,0.96
"107","EA-EWNC-0510-ARG2",3.31,3.31,2.98,0.6,3.2,0.46,2.98,0.6,3.2,0.46
"108","EA-EWNC-1020-HIGH",4.14,4.14,3.3,0.73,3.61,0.67,3.3,0.73,3.61,0.67
"109","EA-EWNC-1020-SUGL",3.16,3.16,2.84,0.47,2.94,0.38,2.84,0.47,2.94,0.38
"110","EA-EWNC-2030-ARG1",3.48,3.48,2.68,0.88,2.99,0.76,2.68,0.88,2.99,0.76
"111","EA-EWNC-2030-WIL2",3.53,3.53,3.26,0.5,3.37,0.37,3.26,0.5,3.37,0.37
