"","ID","glcmCorrelation_mean","glcmCorrelation_sd","glcmContrast_mean","glcmContrast_sd","glcmEntropy_mean","glcmEntropy_sd"
"89","CH-PL-6000-FAM2",0.4,0.28,1.97,2.44,2.17,0.73
"90","CH-PL-6000-NORT",0.4,0.27,1.46,2.01,2.03,0.67
"91","CH-PL-6000-PRES",0.32,0.27,6.95,5.47,2.88,0.41
"92","CS_M1",0.41,0.26,6.11,6.75,2.71,0.61
"93","CS_M2",0.44,0.26,5.03,5.43,2.74,0.5
"94","CS_M4",0.38,0.27,5.9,4.87,2.82,0.42
"95","CS_P1",0.4,0.27,1.52,1.68,2.14,0.69
"96","DP_M1",0.41,0.28,7.86,6.88,2.91,0.42
"97","DP_M2",0.4,0.27,6.94,5.84,2.88,0.44
"98","DP_M3",0.42,0.28,8.67,8.7,2.8,0.57
"99","DP_M4",0.37,0.28,8.24,8.69,2.86,0.46
"100","DP_P1",0.19,0.28,0.16,0.21,0.54,0.63
"101","DW_M1",0.37,0.27,3.11,3.43,2.49,0.52
"102","DW_M2",0.35,0.27,3.52,3.4,2.58,0.49
"103","DW_M3",0.38,0.28,3.5,3.85,2.42,0.79
"104","DW_M4",0.38,0.29,5.02,5.53,2.52,0.86
"105","DW_P1",0.31,0.29,0.67,0.58,1.64,0.6
"106","EA-EW-1020-LOSH",0.4,0.26,4.87,6.16,2.65,0.55
"107","EA-EWNC-0510-ARG2",0.42,0.27,5.04,5.22,2.71,0.52
"108","EA-EWNC-1020-HIGH",0.48,0.26,7.38,10.2,2.66,0.62
"109","EA-EWNC-1020-SUGL",0.36,0.28,5.06,4.26,2.78,0.46
"110","EA-EWNC-2030-ARG1",0.4,0.29,5.76,7.45,2.22,1.19
"111","EA-EWNC-2030-WIL2",0.37,0.27,4.91,3.75,2.83,0.4
"112","EA-EWNC-3040-WIL3",0.39,0.27,6.52,5.91,2.87,0.43
"113","EA-EWNC-6000-HAYL",0.38,0.27,4.45,4.42,2.64,0.6
"114","EA-EWNC-6000-WIL4",0.36,0.27,5.83,5.21,2.8,0.5
"115","EA-EWPL-1020-HIGH",0.3,0.27,0.64,0.48,1.65,0.5
"116","EA-EWPL-1020-SUGL",0.36,0.27,6.71,6.09,2.88,0.42
"117","EA-EWPL-2030-ARG1",0.41,0.28,6.23,6.45,2.59,0.87
"118","EA-EWPL-3040-WIL3",0.51,0.26,4.78,5.63,2.67,0.57
"119","EA-EWPL-6000-HAYL",0.35,0.27,5.33,3.76,2.88,0.37
"120","EA-EWPL-6000-WIL4",0.37,0.28,5.02,4.86,2.76,0.46
"121","EA-NC-0510-ARG2",0.38,0.43,0,0.02,0,0.03
"122","EA-NC-1020-HIGH",0.24,0.29,0.46,2.15,0.53,0.77
"123","EA-NC-1020-LOSH",0.3,0.3,1.23,1.41,1.63,0.98
"124","EA-NC-1020-SUGL",0.22,0.3,0.07,0.37,0.11,0.43
"125","EA-NC-2030-ARG1",0.25,0.3,0.34,1.04,0.57,0.86
"126","EA-NC-2030-WIL2",0.25,0.29,0.28,0.24,0.97,0.61
"127","EA-NC-3040-WIL3",0.31,0.27,0.87,0.75,1.84,0.55
"128","EA-NC-6000-HAYL",0.38,0.27,3.82,7.04,2.42,0.6
"129","EA-NC-6000-WIL4",0.36,0.27,2.32,2.22,2.41,0.53
"130","EA-PL-1020-HIGH",0.39,0.28,4.15,5.03,2.55,0.57
"131","EA-PL-1020-LOSH",0.36,0.28,1.85,2,1.99,0.86
"132","EA-PL-1020-SUGL",0.21,0.3,0.02,0.14,0.05,0.27
"133","EA-PL-2030-ARG1",0.28,0.29,0.4,0.68,0.9,0.87
"134","EA-PL-3040-WIL3",0.32,0.26,0.63,0.76,1.62,0.53
"135","EA-PL-6000-HAYL",0.37,0.27,2.35,2.56,2.37,0.55
"136","EA-PL-6000-WIL4",0.39,0.28,6.81,5.36,2.89,0.46
"137","FF_M1",0.42,0.27,2.87,4,2.31,0.74
"138","FF_M2",0.42,0.26,5.53,6.14,2.7,0.54
"139","FF_P1",0.35,0.26,1.13,0.97,2.03,0.58
"140","FL_M1",0.43,0.27,5.49,5.35,2.79,0.5
"141","FL_M2",0.45,0.27,7.54,6.45,2.93,0.4
"142","FL_M4",0.43,0.28,4.68,4.65,2.62,0.73
"143","FL_P1",0.36,0.28,1.35,1.04,2.15,0.6
"144","HF_M1",0.43,0.27,3.84,4.09,2.64,0.59
"145","HF_M2",0.42,0.29,5.73,7.09,2.35,1.03
"146","HF_M3",0.41,0.27,4.07,4.88,2.54,0.58
"147","HF_M4",0.49,0.26,3.17,3.79,2.56,0.56
"148","HF_P1",0.37,0.27,2.21,1.71,2.46,0.52
"149","LB_M1",0.42,0.26,4.23,5.47,2.53,0.61
"150","LB_M2",0.42,0.28,4.58,6.76,2.32,0.75
"151","LB_M3",0.43,0.27,4.68,6.86,2.51,0.66
"152","LB_M4",0.4,0.26,1.89,1.8,2.28,0.58
"153","LB_P1",0.29,0.27,0.66,0.65,1.57,0.66
"154","MG_M1",0.36,0.31,4.19,7,1.87,1.03
"155","MG_M2",0.43,0.27,5.52,5.9,2.7,0.59
"156","MG_M3",0.33,0.27,0.93,1.01,1.74,0.66
"157","MG_M4",0.37,0.27,2.67,2.09,2.53,0.58
"158","MG_P1",0.26,0.3,0.31,1.05,0.49,0.8
"159","SE-EW-1020-COMF",0.47,0.26,5.14,6.79,2.66,0.57
"160","SE-EW-1020-VICT",0.31,0.28,0.61,0.84,1.5,0.57
"161","SE-EWNC-1020-HAIN",0.43,0.27,2.02,2.75,2.22,0.65
"162","SE-EWNC-2030-OLDP",0.35,0.28,3.44,3.43,2.48,0.64
"163","SE-EWNC-3040-RAVE",0.39,0.28,5.24,4.13,2.88,0.36
"164","SE-EWNC-6000-BOWD",0.42,0.27,5.25,5.85,2.65,0.68
"165","SE-EWPL-1020-HAIN",0.45,0.26,3.05,4.37,2.36,0.68
"166","SE-EWPL-2030-OLDP",0.43,0.27,5.15,8.64,2.59,0.52
"167","SE-EWPL-3040-RAVE",0.44,0.26,4.25,4.28,2.67,0.55
"168","SE-EWPL-5060-BOWD",0.4,0.28,5.15,5.42,2.64,0.7
"169","SE-NC-1020-COMF",NA,NA,0,0,0,0
"170","SE-NC-1020-HAIN",0.32,0.27,1.45,1.41,2.03,0.8
"171","SE-NC-1020-VICT",0.19,0.31,0.05,0.12,0.19,0.41
"172","SE-NC-2030-OLDP",0.36,0.31,0.63,1.09,1.1,1.02
"173","SE-NC-3040-RAVE",0.35,0.28,1.84,2.12,2.03,0.84
"174","SE-NC-6000-BOWD",0.39,0.28,3.41,4.29,2.14,1.1
"175","SE-PL-1020-COMF",0.04,0.2,0,0.02,0.01,0.06
"176","SE-PL-1020-HAIN",0.22,0.31,0.21,0.41,0.61,0.7
"177","SE-PL-1020-VICT",0.24,0.28,0.28,0.3,0.89,0.71
"178","SE-PL-2030-OLDP",0.37,0.28,1.78,1.91,2.15,0.72
"179","SE-PL-3040-RAVE",0.37,0.27,5.29,3.75,2.91,0.32
"180","SE-PL-5060-BOWD",0.37,0.28,4.46,4.74,2.55,0.74
"181","SH_M1",0.41,0.27,6.21,7.27,2.76,0.53
"182","SH_M2",0.41,0.28,8.29,9.97,2.66,0.74
"183","SH_P1",0.33,0.27,0.95,1.91,1.28,1.09
"184","WE-EWNC-1020-PIDD",0.39,0.27,4.87,4.44,2.75,0.5
"185","WE-EWNC-1020-SWAN",0.41,0.26,3.81,4.22,2.56,0.58
"186","WE-EWNC-2030-CHUR",0.34,0.27,2.93,2.32,2.6,0.44
"187","WE-EWNC-3040-WYTH",0.4,0.27,8.51,8.74,2.88,0.51
"188","WE-EWPL-1020-PIDD",0.42,0.26,2.59,2.11,2.59,0.44
"189","WE-EWPL-1020-SWAN",0.5,0.26,3.42,4.36,2.52,0.62
"190","WE-EWPL-2030-CHUR",0.38,0.27,5.37,4.18,2.81,0.45
"191","WE-EWPL-3040-WYTH",0.44,0.28,4.3,6.93,2.2,1
"192","WE-NC-1020-PIDD",0.31,0.36,0.06,0.19,0.22,0.51
"193","WE-NC-1020-SWAN",0.33,0.27,1.86,1.25,2.42,0.4
"194","WE-NC-2030-CHUR",0.33,0.28,1.13,0.96,1.92,0.7
"195","WE-NC-3040-WYTH",0.43,0.27,1.82,2.16,2.03,0.87
"196","WE-PL-1020-PIDD",0.29,0.28,0.83,1.04,1.53,0.86
"197","WE-PL-1020-SWAN",0.31,0.27,0.94,0.91,1.77,0.7
"198","WE-PL-2030-CHUR",0.35,0.26,2.28,1.41,2.55,0.37
"199","WE-PL-3040-WYTH",0.38,0.27,5,5.36,2.72,0.45
"200","WT4509",0.37,0.27,2.47,2.02,2.47,0.59
"201","WT4688",0.32,0.28,2.16,2.13,2.11,0.92
"202","WT4691",0.37,0.28,2.58,2.53,2.3,0.86
"203","WT4832",0.33,0.28,2.36,1.95,2.41,0.63
"204","WT4945",0.33,0.28,1.64,1.8,2.03,0.75
"205","WT4975",0.37,0.28,3.11,2.57,2.41,0.84
"206","WT5163",0.33,0.28,1.95,1.58,2.32,0.57
"207","WT5210",0.33,0.29,1.81,1.89,2.13,0.81
"208","WT5226",0.37,0.29,0.95,0.84,1.91,0.62
"209","WT5231",0.37,0.28,1.49,1.3,2.08,0.82
"210","WT5233",0.28,0.28,1.44,2.06,1.87,0.91
"211","WT5291",0.3,0.28,0.79,0.82,1.6,0.75
