"","level","site_id","area","perim","para"
"120","patch","1105206",0.0017,22,1.29411764705882
"121","patch","1105206",0.0238,112,0.470588235294118
"122","patch","1105206",0.0015,18,1.2
"123","patch","1105206",0.0017,18,1.05882352941176
"124","patch","1105206",8e-04,12,1.5
"125","patch","1105206",0.0344,128,0.372093023255814
"126","patch","1105206",0.0016,20,1.25
"127","patch","1105206",5e-04,10,2
"128","patch","1105206",0.0025,30,1.2
"129","patch","1105206",8e-04,14,1.75
"130","patch","1105206",0.0018,20,1.11111111111111
"131","patch","1105206",0.001,14,1.4
"132","patch","1105206",0.0049,38,0.775510204081633
"133","patch","1105206",0.0024,28,1.16666666666667
"134","patch","1105206",0.003,30,1
"135","patch","1105206",0.006,48,0.8
"136","patch","1105206",0.011,64,0.581818181818182
"137","patch","1105206",0.0154,84,0.545454545454545
"138","patch","1105206",0.0029,34,1.17241379310345
"139","patch","1105206",0.0105,68,0.647619047619048
"140","patch","1105206",7e-04,12,1.71428571428571
"141","patch","1105206",0.0021,22,1.04761904761905
"142","patch","1105206",0.0018,22,1.22222222222222
"143","patch","1105206",9e-04,16,1.77777777777778
"144","patch","1105206",0.0011,16,1.45454545454545
"145","patch","1105206",0.0041,30,0.731707317073171
"146","patch","1105206",6e-04,10,1.66666666666667
"147","patch","1105206",8e-04,14,1.75
"148","patch","1105206",0.0012,16,1.33333333333333
"149","patch","1105206",0.0077,42,0.545454545454545
"150","patch","1105206",0.0013,16,1.23076923076923
"151","patch","1105206",9e-04,14,1.55555555555556
"152","patch","1105206",0.0035,28,0.8
"153","patch","1105206",0.0011,18,1.63636363636364
"154","patch","1105206",7e-04,14,2
"155","patch","1105206",0.0021,22,1.04761904761905
"156","patch","1105206",6e-04,14,2.33333333333333
"157","patch","1105206",0.0133,82,0.616541353383459
"158","patch","1105206",0.001,14,1.4
"159","patch","1105206",0.004,34,0.85
"160","patch","1105206",0.0055,52,0.945454545454545
"161","patch","1105206",0.0227,80,0.352422907488987
"162","patch","1105206",5e-04,10,2
"163","patch","1105206",0.0087,64,0.735632183908046
"164","patch","1105206",0.0012,16,1.33333333333333
"165","patch","1105206",0.0017,22,1.29411764705882
"166","patch","1105206",6e-04,10,1.66666666666667
"167","patch","1105206",0.0019,28,1.47368421052632
"168","patch","1105206",0.003,28,0.933333333333333
"169","patch","1105206",0.0011,16,1.45454545454545
"170","patch","1105206",0.0012,16,1.33333333333333
"171","patch","1105206",0.0038,34,0.894736842105263
"172","patch","1105206",0.001,14,1.4
"173","patch","1105206",6e-04,12,2
"174","patch","1105206",6e-04,12,2
"175","patch","1105206",0.0014,20,1.42857142857143
"176","patch","1105206",7e-04,12,1.71428571428571
"177","patch","1105464",6e-04,10,1.66666666666667
"178","patch","1105464",0.0012,16,1.33333333333333
"179","patch","1105464",0.0026,28,1.07692307692308
"180","patch","1105464",0.004,34,0.85
"181","patch","1105464",0.0011,20,1.81818181818182
"182","patch","1105464",0.0051,46,0.901960784313725
"183","patch","1105464",0.0023,24,1.04347826086957
"184","patch","1105464",0.0039,34,0.871794871794872
"185","patch","1105464",0.0017,20,1.17647058823529
"186","patch","1105464",0.0027,24,0.888888888888889
"187","patch","1105464",5e-04,12,2.4
"188","patch","1105464",0.003,28,0.933333333333333
"189","patch","1105464",6e-04,12,2
"190","patch","1105464",0.0029,32,1.10344827586207
"191","patch","1105464",0.0031,28,0.903225806451613
"192","patch","1105464",0.0049,32,0.653061224489796
"193","patch","1105464",6e-04,12,2
"194","patch","1105464",0.001,14,1.4
"195","patch","1105464",0.0047,42,0.893617021276596
"196","patch","1105464",5e-04,12,2.4
"197","patch","1105464",0.0033,34,1.03030303030303
"198","patch","1105464",0.0034,28,0.823529411764706
"199","patch","1105464",0.003,30,1
"200","patch","1105464",0.0021,28,1.33333333333333
"201","patch","1105464",0.1392,292,0.209770114942529
"202","patch","1105464",8e-04,12,1.5
"203","patch","1105464",0.053,218,0.411320754716981
"204","patch","1105464",0.0096,64,0.666666666666667
"205","patch","1105464",0.001,16,1.6
"206","patch","1105464",6e-04,10,1.66666666666667
"207","patch","1105464",0.0135,72,0.533333333333333
"208","patch","1107477",0.0018,26,1.44444444444444
"209","patch","1107477",0.0015,20,1.33333333333333
"210","patch","1107477",0.0023,26,1.1304347826087
"211","patch","1107675",0.0086,56,0.651162790697674
"212","patch","1107675",0.001,16,1.6
"213","patch","1107675",0.003,28,0.933333333333333
"214","patch","1107675",7e-04,14,2
"215","patch","1107675",0.0026,38,1.46153846153846
"216","patch","1107675",0.0015,20,1.33333333333333
"217","patch","1107675",3e-04,10,3.33333333333333
"218","patch","1107675",1e-04,4,4
"219","patch","1107675",5e-04,10,2
"220","patch","1107675",0.0054,54,1
"221","patch","1107675",6e-04,12,2
"222","patch","1107675",0.0064,40,0.625
"223","patch","1107675",0.0023,22,0.956521739130435
"224","patch","1107675",0.0012,18,1.5
"225","patch","1107675",9e-04,14,1.55555555555556
"226","patch","1107675",0.0036,34,0.944444444444444
"227","patch","1107675",0.1594,676,0.424090338770389
"228","patch","1107675",0.0027,28,1.03703703703704
"229","patch","1107675",0.0013,22,1.69230769230769
"230","patch","1107675",0.009,64,0.711111111111111
"231","patch","1107675",7e-04,12,1.71428571428571
