"","ID","siteEffStories","mean10mEffStories","sd10mEffStories","mean30mEffStories","sd30mEffStories"
"175","SE-PL-1020-COMF",3.92,3.21,0.81,3.58,0.57
"176","SE-PL-1020-HAIN",3.92,3.21,0.81,3.58,0.57
"177","SE-PL-1020-VICT",3.92,3.21,0.81,3.58,0.57
"178","SE-PL-2030-OLDP",3.92,3.21,0.81,3.58,0.57
"179","SE-PL-3040-RAVE",3.92,3.21,0.81,3.58,0.57
"180","SE-PL-5060-BOWD",3.92,3.21,0.81,3.58,0.57
"181","SH_M1",3.92,3.21,0.81,3.58,0.57
"182","SH_M2",3.92,3.21,0.81,3.58,0.57
"183","SH_P1",3.92,3.21,0.81,3.58,0.57
"184","WE-EWNC-1020-PIDD",3.92,3.21,0.81,3.58,0.57
"185","WE-EWNC-1020-SWAN",3.92,3.21,0.81,3.58,0.57
"186","WE-EWNC-2030-CHUR",3.92,3.21,0.81,3.58,0.57
"187","WE-EWNC-3040-WYTH",3.92,3.21,0.81,3.58,0.57
"188","WE-EWPL-1020-PIDD",3.92,3.21,0.81,3.58,0.57
"189","WE-EWPL-1020-SWAN",3.92,3.21,0.81,3.58,0.57
"190","WE-EWPL-2030-CHUR",3.92,3.21,0.81,3.58,0.57
"191","WE-EWPL-3040-WYTH",3.92,3.21,0.81,3.58,0.57
"192","WE-NC-1020-PIDD",3.92,3.21,0.81,3.58,0.57
"193","WE-NC-1020-SWAN",3.92,3.21,0.81,3.58,0.57
"194","WE-NC-2030-CHUR",3.92,3.21,0.81,3.58,0.57
"195","WE-NC-3040-WYTH",3.92,3.21,0.81,3.58,0.57
"196","WE-PL-1020-PIDD",3.92,3.21,0.81,3.58,0.57
"197","WE-PL-1020-SWAN",3.92,3.21,0.81,3.58,0.57
"198","WE-PL-2030-CHUR",3.92,3.21,0.81,3.58,0.57
"199","WE-PL-3040-WYTH",3.92,3.21,0.81,3.58,0.57
"200","WT4509",3.92,3.21,0.81,3.58,0.57
"201","WT4688",3.92,3.21,0.81,3.58,0.57
"202","WT4691",3.92,3.21,0.81,3.58,0.57
"203","WT4832",3.92,3.21,0.81,3.58,0.57
"204","WT4945",3.92,3.21,0.81,3.58,0.57
"205","WT4975",3.92,3.21,0.81,3.58,0.57
"206","WT5163",3.92,3.21,0.81,3.58,0.57
"207","WT5210",3.92,3.21,0.81,3.58,0.57
"208","WT5226",3.92,3.21,0.81,3.58,0.57
"209","WT5231",3.92,3.21,0.81,3.58,0.57
"210","WT5233",3.92,3.21,0.81,3.58,0.57
"211","WT5291",3.92,3.21,0.81,3.58,0.57
