"","ID","glcmCorrelation_mean","glcmCorrelation_sd","glcmContrast_mean","glcmContrast_sd","glcmEntropy_mean","glcmEntropy_sd"
"1","1105056",0.3,0.28,18.09,20.41,2.77,0.62
"2","1105206",0.21,0.28,30.28,27.73,2.98,0.41
"3","1105464",0.23,0.29,20.49,25.74,2.78,0.48
