"","scpt","cpmt","management_prescription","last_thinned","next_thin_date","selection_type","species","plyr","next_intervention_year","next_intervention_type","heightChange","gapArea_2017","gapArea_2024","meanFHD_2017","meanFHD_2024","stems_2017","stems_2024"
"280","H",3337,NA,"< 2016",2025,"Intermediate","Norway spruce",1972,NA,NA,2.00204518227892,2497.8744179182,1736.30294494264,2.21444444444444,2.04644444444444,50,53
"281","D",4616,"coppicing and potentially enrichment planting.","2017<2024",2024,"Intermediate","Sweet chestnut",1956,-1,"Felling",4.69961009440255,2696.02572645003,1318.99106441484,1.70323232323232,1.50313131313131,81,75
"282","H",4518,NA,"2017<2024",2027,"Intermediate","Western hemlock",1958,2034,"Felling",2.77840503873619,10.0075678455178,43.0325437366118,1.498,1.9645,43,42
"283","I",4518,NA,"2017<2024",2024,"Crown","Oak (robur/petraea)",1941,2026,NA,-6.59191109680485,97.0732622719806,1191.89958248976,1.9271875,2.225,28,19
"284","I",3211,NA,"2017<2024",2024,"Intermediate","Norway spruce",1951,2040,"Felling",0.633274921647183,218.161790784812,333.247146763009,2.246,2.296,66,63
"285","B",4455,"thinning to develop crowns
underplanting","2017<2024",2027,"Intermediate","Douglas fir",1983,2025,"Felling",2.26704395644507,513.386777272477,582.438797429502,1.53787878787879,1.67530303030303,121,133
"286","J",4462,"develop crowns through thinning
Retain clusters to become future veterans with possible future U/Plant","2017<2024",2024,"Intermediate","Scots pine",1990,2024,"Felling",-3.82649650841997,940.706850127965,2699.02824705133,2.02833333333333,1.99166666666667,29,24
"287","H",4453,"singling multi stems and coppicing
retain 25-30% of stems impertuity","2017<2024",2027,"Intermediate","Sweet chestnut",1974,-1,"Felling",0.618520555834597,213.160949384568,1130.85382860281,1.44722222222222,2.0662962962963,73,74
"288","M",4626,NA,"2017<2024",2028,"Crown","Scots pine",1935,NA,NA,0.931292563087509,1670.25599019427,1347.01292319465,2.20416666666667,1.99972222222222,25,25
"289","C",4457,"thinning to develop crowns
underplanting","2017<2024",2027,"Intermediate","Douglas fir",1992,2025,"Felling",3.45256815999624,584.439875214463,602.45343695191,1.51190909090909,1.59872727272727,139,143
"290","B",4535,NA,"2017<2024",2026,"Intermediate","Douglas fir",1969,2099,"Felling",2.21519245679493,3640.74691435295,2794.10813829701,1.79809523809524,1.76625,354,333
"291","G",3355,NA,"2017<2024",2025,"Intermediate","Norway spruce",1969,2048,"Felling",2.6616141677033,187.140281361608,51.0382609208245,1.53916666666667,1.43125,24,26
"292","D",4424,NA,"< 2016",2030,"Intermediate","Oak (robur/petraea)",1843,2026,"Felling",0.828775746058371,7641.7356923947,6591.94773643867,1.403984375,1.426640625,98,91
"293","B",4604,"Thin develop crowns and opportunity for u/p","2017<2024",2024,"Intermediate","Norway spruce",1965,-1,"Felling",-0.58869841866184,1104.82919563223,1272.95538173869,1.46916666666667,1.67761904761905,308,352
"294","B",4518,"Thin/underplanting","2017<2024",2024,"Intermediate","Beech",1909,2027,NA,-1.27335721125009,342.258801685566,926.700740208027,1.72222222222222,1.80930555555556,67,55
"295","A",4409,NA,"2017<2024",2028,"Line Intermediate","Japanese larch",2008,2053,"Felling",1.66120679009685,4490.37524640138,8205.16732447116,1.97514705882353,2.3943137254902,601,456
"296","A",4323,NA,"2017<2024",2026,"Intermediate","Douglas fir",1972,-1,"Felling",1.55658752304533,370.277550114966,253.189785023322,1.38978947368421,1.51457894736842,289,301
"297","C",3354,NA,"2017<2024",2025,"No Thin","Corsican pine",1962,NA,NA,1.81894558104313,1645.23186572923,935.700537448058,1.86025,1.83375,142,133
"298","D",3210,NA,"2017<2024",2028,"Intermediate","Western red cedar",1951,2040,"Felling",0.0923961980746299,58.0430738246359,112.08316384576,1.64465909090909,1.71352272727273,174,192
"299","G",4214,NA,"2017<2024",2025,"Intermediate","Sweet chestnut",1936,-1,"Felling",-1.47479941350904,698.522513742988,784.586859959571,1.76625,1.9675,33,23
"300","K",3302,NA,"2017<2024",2025,"Intermediate","Norway spruce",1971,2030,"Felling",2.80934583042272,205.153587363413,117.087651996932,1.935,1.6875,103,106
"301","A",3302,NA,"2017<2024",2024,"Crown","Oak (robur/petraea)",1935,NA,NA,4.94324599375575,8118.07724878495,2683.00855057852,2.03348765432099,1.60385802469136,696,680
"302","A",3426,NA,"2017<2024",2024,"Crown","Oak (robur/petraea)",1928,NA,NA,2.47793356467128,3417.5441010525,2239.66725210457,1.86562130177515,1.88934911242604,370,354
"303","K",3412,NA,"2017<2024",2027,"Line Intermediate","Corsican pine",1999,2064,"Felling",1.57822432298444,0,151.112760603486,1.922,1.72566666666667,37,42
"304","F",4204,NA,"< 2016",2025,"Intermediate","Beech",1960,-1,"Felling",1.06461048116728,176.131250482431,144.107378279914,1.47185185185185,1.3512962962963,94,81
"305","G",4222,NA,"2017<2024",2027,"Line Intermediate","Hybrid larch",2003,2101,"Felling",0.679129057887001,291.217094652144,1237.9227191486,1.67439393939394,1.95825757575758,107,112
"306","C",4506,NA,"2017<2024",2024,"Intermediate","Oak (robur/petraea)",1908,2025,NA,1.38302826159478,235.177526738778,250.188868084377,1.72613636363636,1.87284090909091,107,98
"307","H",3415,NA,"2017<2024",2027,"Intermediate","Douglas fir",1968,NA,NA,0.0967865059702425,188.140629570982,334.249698541375,1.87163265306122,1.99632653061224,81,89
"308","J",3413,NA,"2017<2024",NA,"","",NA,NA,NA,-2.82373672931903,346.258610770856,1320.98656908592,1.80380952380952,1.72107142857143,59,43
"309","G",4431,"Thin for natural regen and under planting","2017<2024",2027,"Intermediate","Douglas fir",1930,-1,"Felling",-0.220523037929335,35.0262735068609,131.098353126974,1.97114285714286,1.98314285714286,46,44
"310","S",3413,NA,"< 2016",2025,"Crown","Oak (robur/petraea)",1953,NA,NA,3.23384580688305,101.075492940276,0,1.5685,1.6875,27,24
"311","F",3420,NA,"2017<2024",2027,"Intermediate","European larch",1967,2037,"Felling",0.906401426923565,3154.3568454598,2986.23125581846,1.44756944444444,1.53881944444444,66,61
"312","K",3427,NA,"2017<2024",2026,"Intermediate","Scots pine",1960,NA,NA,1.42426430515345,0,0,1.635625,1.76875,11,14
"313","B",4640,"Thin/Regen/underplant","2017<2024",2035,"Neutral","Oak (robur/petraea)",1815,-1,"Felling",0.410443143776229,4775.55185288964,9163.81571249416,1.68553571428571,1.75675,221,213
"314","B",3503,NA,"< 2016",2031,"Intermediate","Beech",1936,NA,NA,2.42827444891447,2737.95545784757,1790.27858568522,1.35296774193548,1.31,218,200
"315","B",4320,NA,"< 2016",2025,"Neutral","Oak (robur/petraea)",1812,NA,NA,1.08318709142618,1506.12654748368,1183.88549941704,2.09819444444444,1.99763888888889,74,78
"316","C",4516,NA,"2017<2024",2033,"Line Intermediate","Beech",1984,2025,"Felling",0.91981856698287,723.54750360702,1576.19269569276,2.23607142857143,2.1475,95,102
"317","C",3204,NA,"2017<2024",2024,"Intermediate","Oak (robur/petraea)",1948,-1,"Felling",1.67078170208905,2209.64159020079,2013.49595268643,1.57471153846154,1.55399038461538,260,245
"318","E",4441,"develop crowns through thinning
Retain clusters to become future veterans with possible future U/Plant","2017<2024",2027,"Intermediate","Norway spruce",1931,2024,"Felling",-1.90489146498878,1572.17977674535,2229.67292813023,1.29531313131313,1.28064646464646,140,125
"319","A",3407,NA,"2017<2024",2026,"Intermediate","Douglas fir",1971,2045,"Felling",1.684993542817,823.61547574609,1444.07912060948,1.29640866873065,1.50368421052632,820,813
"320","A",3337,NA,"2017<2024",2024,"Intermediate","Douglas fir",1972,NA,NA,3.33804593888048,5537.16053507076,4101.08132237315,1.94888392857143,1.88924107142857,486,503
"321","A",4317,NA,"2017<2024",NA,"","European larch",1942,2033,"Felling",-0.896906513433905,408.305581573477,391.292860696049,1.48378205128205,1.62878205128205,468,405
"322","B",4219,NA,"2017<2024",2024,"Intermediate","Scots pine",1964,2125,"Felling",2.39092844553136,2329.73482488145,2037.51751205957,1.45313725490196,1.3590522875817,285,262
"323","D",4321,NA,"2017<2024",2024,"Intermediate","Sweet chestnut",1965,-1,"Felling",-0.254418254136971,2246.68039116343,3681.75378725681,2.33236111111111,2.12722222222222,115,88
"324","A",3427,NA,"2017<2024",2027,"Intermediate","Scots pine",1959,NA,NA,0.714214902082542,2752.0472959309,3055.27277148435,1.5605325443787,1.56443786982249,309,293
"325","C",3302,NA,"2017<2024",2025,"No Thin","Corsican pine",1970,NA,NA,4.44846562577905,5520.1313531601,1436.07474688966,2.0577619047619,1.5797619047619,415,422
"326","K",4441,NA,"< 2016",2025,"Crown","Scots pine",1931,2200,"Felling",1.30486596440774,1649.24009752688,1071.80591558609,2.25314285714286,2.408,29,30
"327","C",4614,NA,"< 2016",2025,"Intermediate","Douglas fir",1971,2055,"Felling",-1.48188606359416,920.6932959244,1715.29159150511,1.90944444444444,1.77972222222222,97,82
"328","G",3502,NA,"2017<2024",2027,"Intermediate","Douglas fir",1971,NA,NA,2.48085427457413,221.162556826937,30.0220648530812,1.98866666666667,1.70133333333333,74,77
"329","A",3503,NA,"2017<2024",2024,"Crown","Oak (robur/petraea)",1936,NA,NA,0.532277358840045,859.613839788944,1572.12244351987,1.31143097643098,1.37191919191919,728,696
"330","D",4406,"Halo vet OK, retain deadwood & W'blow. Thin around SpHse Lake to 50% tree cover","2017<2024",2024,"Intermediate","Beech",1962,-1,"Felling",2.65641970927391,1556.17032739473,995.748791095393,1.63087912087912,1.64879120879121,40,46
"331","A",4128,NA,"2017<2024",2024,"Intermediate","Oak (robur/petraea)",1949,NA,NA,0.984505883665306,5215.93892198691,6907.21613271796,1.63229885057471,1.65997701149425,870,851
"332","F",4410,"Thin promote conifer regen and use under-planting to diversify species ","2017<2024",2027,"Intermediate","Douglas fir",1967,-1,"Felling",-0.741023775652414,385.289241648854,1086.81584246222,1.61558333333333,1.73241666666667,148,145
"333","B",3316,NA,"2017<2024",2024,"Line Intermediate","Mixed broadleaves",2000,NA,NA,3.48179061013612,6834.11131790801,4711.52377676135,1.99339130434783,1.90786956521739,146,140
"334","A",3313,NA,"< 2016",2025,"Intermediate","Douglas fir",1965,NA,NA,2.57487888794297,156.116682239488,199.148835513406,1.49898148148148,1.31435185185185,562,571
"335","B",4426,NA,"2017<2024",2030,"Neutral","Oak (robur/petraea)",1841,2026,"Felling",0.20769770257846,2684.01480649359,4003.00521803818,1.55852941176471,1.56735294117647,213,187
"336","K",4600,NA,"2017<2024",2028,"Crown","Scots pine",1934,-1,"Felling",0.0432500528171659,54.0404890959326,58.0434863774935,1.60928571428571,1.70285714285714,23,28
"337","B",4643,"Thin/Regen/underplant","< 2016",2030,"Neutral","Oak (robur/petraea)",1810,-1,"Felling",1.57573150937908,6100.40128127395,5043.6389868202,1.793,1.68365217391304,141,137
"338","A",4407,NA,"2017<2024",2028,"Line Intermediate","Japanese larch",2004,2066,"Felling",0.24880625951671,2475.85950882946,5574.18581335005,1.85852941176471,2.15405882352941,385,382
"339","D",4431,"Thin for natural regen and under planting","2017<2024",2027,"Intermediate","Douglas fir",1966,-1,"Felling",-0.383184829310598,31.0232895162844,34.0255440765468,1.7895,1.5675,81,79
"340","B",4326,NA,"2017<2024",2025,"Intermediate","Hybrid larch",1973,2026,"Felling",0.07414169108348,126.094479367806,551.413166488965,1.29531746031746,1.4268253968254,314,290
